Date,Reservoirs,Watershed,Storage (BG),Capacity (BG),Outflow (BGD),Outflow (MGD),
02/01/2019,Ashokan,Catskill/Delaware,114.71,122.9,0.619,619.0,
02/02/2019,Ashokan,Catskill/Delaware,113.98,122.9,0.619,619.0,
02/03/2019,Ashokan,Catskill/Delaware,113.22,122.9,0.598,598.0,
02/04/2019,Ashokan,Catskill/Delaware,112.48,122.9,0.586,586.0,
02/05/2019,Ashokan,Catskill/Delaware,111.95,122.9,0.584,584.0,
02/06/2019,Ashokan,Catskill/Delaware,111.78,122.9,0.583,583.0,
02/07/2019,Ashokan,Catskill/Delaware,111.94,122.9,0.443,443.0,
02/08/2019,Ashokan,Catskill/Delaware,112.68,122.9,0.412,412.0,
02/09/2019,Ashokan,Catskill/Delaware,112.85,122.9,0.412,412.0,
02/10/2019,Ashokan,Catskill/Delaware,112.79,122.9,0.412,412.0,
02/11/2019,Ashokan,Catskill/Delaware,112.77,122.9,0.409,409.0,
02/12/2019,Ashokan,Catskill/Delaware,112.94,122.9,0.409,409.0,
02/13/2019,Ashokan,Catskill/Delaware,112.68,122.9,0.408,408.0,
02/14/2019,Ashokan,Catskill/Delaware,112.16,122.9,0.407,407.0,
02/15/2019,Ashokan,Catskill/Delaware,111.89,122.9,0.405,405.0,
02/16/2019,Ashokan,Catskill/Delaware,111.54,122.9,0.251,251.0,
02/17/2019,Ashokan,Catskill/Delaware,111.24,122.9,0.198,198.0,
02/18/2019,Ashokan,Catskill/Delaware,110.88,122.9,0.202,202.0,
02/19/2019,Ashokan,Catskill/Delaware,110.53,122.9,0.202,202.0,
02/20/2019,Ashokan,Catskill/Delaware,110.31,122.9,0.122,122.0,
02/21/2019,Ashokan,Catskill/Delaware,110.07,122.9,0.096,96.0,
02/22/2019,Ashokan,Catskill/Delaware,109.82,122.9,0.058,58.0,
02/23/2019,Ashokan,Catskill/Delaware,109.63,122.9,0.046,46.0,
02/24/2019,Ashokan,Catskill/Delaware,109.61,122.9,0.048,48.0,
02/25/2019,Ashokan,Catskill/Delaware,109.42,122.9,0.048,48.0,
02/26/2019,Ashokan,Catskill/Delaware,109.21,122.9,0.047,47.0,
02/27/2019,Ashokan,Catskill/Delaware,109.03,122.9,0.047,47.0,
02/28/2019,Ashokan,Catskill/Delaware,108.77,122.9,0.043,43.0,
03/01/2019,Ashokan,Catskill/Delaware,108.54,122.9,0.031,31.0,
03/02/2019,Ashokan,Catskill/Delaware,108.3,122.9,0.014,14.0,
03/03/2019,Ashokan,Catskill/Delaware,108.11,122.9,0.012,12.0,
03/04/2019,Ashokan,Catskill/Delaware,107.79,122.9,0.012,12.0,
03/05/2019,Ashokan,Catskill/Delaware,107.38,122.9,0.012,12.0,
03/06/2019,Ashokan,Catskill/Delaware,106.95,122.9,0.011,11.0,
03/07/2019,Ashokan,Catskill/Delaware,106.53,122.9,0.01,10.0,
03/08/2019,Ashokan,Catskill/Delaware,106.11,122.9,0.011,11.0,
03/09/2019,Ashokan,Catskill/Delaware,105.77,122.9,0.011,11.0,
03/10/2019,Ashokan,Catskill/Delaware,105.35,122.9,0.012,12.0,
03/11/2019,Ashokan,Catskill/Delaware,104.92,122.9,0.015,15.0,
03/12/2019,Ashokan,Catskill/Delaware,104.5,122.9,0.012,12.0,
03/13/2019,Ashokan,Catskill/Delaware,104.19,122.9,0.012,12.0,
03/14/2019,Ashokan,Catskill/Delaware,103.98,122.9,0.013,13.0,
03/15/2019,Ashokan,Catskill/Delaware,104.29,122.9,0.013,13.0,
03/16/2019,Ashokan,Catskill/Delaware,104.46,122.9,0.011,11.0,
03/17/2019,Ashokan,Catskill/Delaware,104.49,122.9,0.011,11.0,
03/18/2019,Ashokan,Catskill/Delaware,104.47,122.9,0.01,10.0,
03/19/2019,Ashokan,Catskill/Delaware,104.4,122.9,0.014,14.0,
03/20/2019,Ashokan,Catskill/Delaware,104.35,122.9,0.014,14.0,
03/21/2019,Ashokan,Catskill/Delaware,104.76,122.9,0.014,14.0,
03/22/2019,Ashokan,Catskill/Delaware,105.41,122.9,0.015,15.0,
03/23/2019,Ashokan,Catskill/Delaware,105.67,122.9,0.015,15.0,
03/24/2019,Ashokan,Catskill/Delaware,105.86,122.9,0.014,14.0,
03/25/2019,Ashokan,Catskill/Delaware,106.13,122.9,0.013,13.0,
03/26/2019,Ashokan,Catskill/Delaware,106.33,122.9,0.012,12.0,
03/27/2019,Ashokan,Catskill/Delaware,106.4,122.9,0.012,12.0,
03/28/2019,Ashokan,Catskill/Delaware,106.46,122.9,0.012,12.0,
03/29/2019,Ashokan,Catskill/Delaware,106.56,122.9,0.012,12.0,
03/30/2019,Ashokan,Catskill/Delaware,107.01,122.9,0.012,12.0,
03/31/2019,Ashokan,Catskill/Delaware,107.72,122.9,0.012,12.0,
04/01/2019,Ashokan,Catskill/Delaware,108.29,122.9,0.012,12.0,
04/02/2019,Ashokan,Catskill/Delaware,108.81,122.9,0.011,11.0,
04/03/2019,Ashokan,Catskill/Delaware,109.2,122.9,0.012,12.0,
04/04/2019,Ashokan,Catskill/Delaware,109.6,122.9,0.012,12.0,
04/05/2019,Ashokan,Catskill/Delaware,110.06,122.9,0.011,11.0,
04/06/2019,Ashokan,Catskill/Delaware,110.47,122.9,0.011,11.0,
04/07/2019,Ashokan,Catskill/Delaware,110.95,122.9,0.011,11.0,
04/08/2019,Ashokan,Catskill/Delaware,111.54,122.9,0.01,10.0,
04/09/2019,Ashokan,Catskill/Delaware,112.36,122.9,0.01,10.0,
04/10/2019,Ashokan,Catskill/Delaware,113,122.9,0.01,10.0,
04/11/2019,Ashokan,Catskill/Delaware,113.53,122.9,0.009,9.0,
04/12/2019,Ashokan,Catskill/Delaware,114.26,122.9,0.009,9.0,
04/13/2019,Ashokan,Catskill/Delaware,115.05,122.9,0.009,9.0,
04/14/2019,Ashokan,Catskill/Delaware,116.49,122.9,0.008,8.0,
04/15/2019,Ashokan,Catskill/Delaware,118.79,122.9,0.008,8.0,
04/16/2019,Ashokan,Catskill/Delaware,119.86,122.9,0.008,8.0,
04/17/2019,Ashokan,Catskill/Delaware,120.43,122.9,0.191,191.0,
04/18/2019,Ashokan,Catskill/Delaware,120.69,122.9,0.298,298.0,
04/19/2019,Ashokan,Catskill/Delaware,120.97,122.9,0.445,445.0,
04/20/2019,Ashokan,Catskill/Delaware,122.87,122.9,0.584,584.0,
04/21/2019,Ashokan,Catskill/Delaware,123.53,122.9,0.623,623.0,
04/22/2019,Ashokan,Catskill/Delaware,123.79,122.9,0.623,623.0,
04/23/2019,Ashokan,Catskill/Delaware,123.81,122.9,0.601,601.0,
04/24/2019,Ashokan,Catskill/Delaware,123.61,122.9,0.605,605.0,
04/25/2019,Ashokan,Catskill/Delaware,123.36,122.9,0.605,605.0,
04/26/2019,Ashokan,Catskill/Delaware,123.57,122.9,0.609,609.0,
04/27/2019,Ashokan,Catskill/Delaware,123.57,122.9,0.609,609.0,
04/28/2019,Ashokan,Catskill/Delaware,123.45,122.9,0.611,611.0,
04/29/2019,Ashokan,Catskill/Delaware,123.25,122.9,0.611,611.0,
04/30/2019,Ashokan,Catskill/Delaware,123,122.9,0.606,606.0,
05/01/2019,Ashokan,Catskill/Delaware,123.01,122.9,0.595,595.0,
05/02/2019,Ashokan,Catskill/Delaware,123.23,122.9,0.311,311.0,
05/03/2019,Ashokan,Catskill/Delaware,123.63,122.9,0.034,34.0,
05/04/2019,Ashokan,Catskill/Delaware,123.95,122.9,0.015,15.0,
05/05/2019,Ashokan,Catskill/Delaware,124.36,122.9,0.016,16.0,
05/06/2019,Ashokan,Catskill/Delaware,124.56,122.9,0.016,16.0,
05/07/2019,Ashokan,Catskill/Delaware,124.68,122.9,0.015,15.0,
05/08/2019,Ashokan,Catskill/Delaware,124.67,122.9,0.015,15.0,
05/09/2019,Ashokan,Catskill/Delaware,124.58,122.9,0.015,15.0,
05/10/2019,Ashokan,Catskill/Delaware,124.56,122.9,0.017,17.0,
05/11/2019,Ashokan,Catskill/Delaware,124.51,122.9,0.017,17.0,
05/12/2019,Ashokan,Catskill/Delaware,124.96,122.9,0.017,17.0,
05/13/2019,Ashokan,Catskill/Delaware,125.43,122.9,0.017,17.0,
05/14/2019,Ashokan,Catskill/Delaware,125.51,122.9,0.017,17.0,
05/15/2019,Ashokan,Catskill/Delaware,125.36,122.9,0.019,19.0,
05/16/2019,Ashokan,Catskill/Delaware,125.06,122.9,0.019,19.0,
05/17/2019,Ashokan,Catskill/Delaware,124.84,122.9,0.021,21.0,
05/18/2019,Ashokan,Catskill/Delaware,124.67,122.9,0.021,21.0,
05/19/2019,Ashokan,Catskill/Delaware,124.6,122.9,0.021,21.0,
05/20/2019,Ashokan,Catskill/Delaware,124.49,122.9,0.021,21.0,
05/21/2019,Ashokan,Catskill/Delaware,124.19,122.9,0.014,14.0,
05/22/2019,Ashokan,Catskill/Delaware,124.03,122.9,0.018,18.0,
05/23/2019,Ashokan,Catskill/Delaware,123.87,122.9,0.019,19.0,
05/24/2019,Ashokan,Catskill/Delaware,123.57,122.9,0.02,20.0,
05/25/2019,Ashokan,Catskill/Delaware,123.32,122.9,0.02,20.0,
05/26/2019,Ashokan,Catskill/Delaware,123.04,122.9,0.017,17.0,
05/27/2019,Ashokan,Catskill/Delaware,122.71,122.9,0.017,17.0,
05/28/2019,Ashokan,Catskill/Delaware,122.6,122.9,0.016,16.0,
05/29/2019,Ashokan,Catskill/Delaware,122.42,122.9,0.013,13.0,
05/30/2019,Ashokan,Catskill/Delaware,122.24,122.9,0.013,13.0,
05/31/2019,Ashokan,Catskill/Delaware,122.06,122.9,0.021,21.0,
06/01/2019,Ashokan,Catskill/Delaware,121.99,122.9,0.024,24.0,
06/02/2019,Ashokan,Catskill/Delaware,121.86,122.9,0.024,24.0,
06/03/2019,Ashokan,Catskill/Delaware,121.56,122.9,0.019,19.0,
06/04/2019,Ashokan,Catskill/Delaware,121.28,122.9,0.019,19.0,
06/05/2019,Ashokan,Catskill/Delaware,120.92,122.9,0.019,19.0,
06/06/2019,Ashokan,Catskill/Delaware,120.59,122.9,0.019,19.0,
06/07/2019,Ashokan,Catskill/Delaware,120.26,122.9,0.019,19.0,
06/08/2019,Ashokan,Catskill/Delaware,119.87,122.9,0.017,17.0,
06/09/2019,Ashokan,Catskill/Delaware,119.48,122.9,0.016,16.0,
06/10/2019,Ashokan,Catskill/Delaware,119.85,122.9,0.017,17.0,
06/11/2019,Ashokan,Catskill/Delaware,119.88,122.9,0.017,17.0,
06/12/2019,Ashokan,Catskill/Delaware,119.83,122.9,0.017,17.0,
06/13/2019,Ashokan,Catskill/Delaware,119.82,122.9,0.013,13.0,
06/14/2019,Ashokan,Catskill/Delaware,119.76,122.9,0.017,17.0,
06/15/2019,Ashokan,Catskill/Delaware,119.62,122.9,0.017,17.0,
06/16/2019,Ashokan,Catskill/Delaware,119.62,122.9,0.012,12.0,
06/17/2019,Ashokan,Catskill/Delaware,119.66,122.9,0.011,11.0,
06/18/2019,Ashokan,Catskill/Delaware,119.73,122.9,0.01,10.0,
06/19/2019,Ashokan,Catskill/Delaware,119.74,122.9,0.01,10.0,
06/20/2019,Ashokan,Catskill/Delaware,119.94,122.9,0.01,10.0,
06/21/2019,Ashokan,Catskill/Delaware,120.09,122.9,0.012,12.0,
06/22/2019,Ashokan,Catskill/Delaware,120.09,122.9,0.012,12.0,
06/23/2019,Ashokan,Catskill/Delaware,120.11,122.9,0.011,11.0,
06/24/2019,Ashokan,Catskill/Delaware,120.03,122.9,0.01,10.0,
06/25/2019,Ashokan,Catskill/Delaware,120.1,122.9,0.018,18.0,
06/26/2019,Ashokan,Catskill/Delaware,120.17,122.9,0.018,18.0,
06/27/2019,Ashokan,Catskill/Delaware,119.91,122.9,0.017,17.0,
06/28/2019,Ashokan,Catskill/Delaware,119.61,122.9,0.022,22.0,
06/29/2019,Ashokan,Catskill/Delaware,119.33,122.9,0.025,25.0,
06/30/2019,Ashokan,Catskill/Delaware,118.98,122.9,0.027,27.0,
07/01/2019,Ashokan,Catskill/Delaware,118.65,122.9,0.027,27.0,
07/02/2019,Ashokan,Catskill/Delaware,118.3,122.9,0.024,24.0,
07/03/2019,Ashokan,Catskill/Delaware,117.99,122.9,0.024,24.0,
07/04/2019,Ashokan,Catskill/Delaware,117.67,122.9,0.018,18.0,
07/05/2019,Ashokan,Catskill/Delaware,117.34,122.9,0.017,17.0,
07/06/2019,Ashokan,Catskill/Delaware,117.12,122.9,0.017,17.0,
07/07/2019,Ashokan,Catskill/Delaware,116.78,122.9,0.017,17.0,
07/08/2019,Ashokan,Catskill/Delaware,116.44,122.9,0.017,17.0,
07/09/2019,Ashokan,Catskill/Delaware,116.16,122.9,0.017,17.0,
07/10/2019,Ashokan,Catskill/Delaware,115.85,122.9,0.016,16.0,
07/11/2019,Ashokan,Catskill/Delaware,115.67,122.9,0.017,17.0,
07/12/2019,Ashokan,Catskill/Delaware,115.33,122.9,0.017,17.0,
07/13/2019,Ashokan,Catskill/Delaware,115.08,122.9,0.017,17.0,
07/14/2019,Ashokan,Catskill/Delaware,114.79,122.9,0.017,17.0,
07/15/2019,Ashokan,Catskill/Delaware,114.42,122.9,0.017,17.0,
07/16/2019,Ashokan,Catskill/Delaware,114.02,122.9,0.016,16.0,
07/17/2019,Ashokan,Catskill/Delaware,113.86,122.9,0.017,17.0,
07/18/2019,Ashokan,Catskill/Delaware,113.49,122.9,0.018,18.0,
07/19/2019,Ashokan,Catskill/Delaware,113.12,122.9,0.018,18.0,
07/20/2019,Ashokan,Catskill/Delaware,112.74,122.9,0.016,16.0,
07/21/2019,Ashokan,Catskill/Delaware,112.35,122.9,0.016,16.0,
07/22/2019,Ashokan,Catskill/Delaware,112.25,122.9,0.019,19.0,
07/23/2019,Ashokan,Catskill/Delaware,111.92,122.9,0.019,19.0,
07/24/2019,Ashokan,Catskill/Delaware,111.59,122.9,0.018,18.0,
07/25/2019,Ashokan,Catskill/Delaware,111.15,122.9,0.017,17.0,
07/26/2019,Ashokan,Catskill/Delaware,110.74,122.9,0.016,16.0,
07/27/2019,Ashokan,Catskill/Delaware,110.29,122.9,0.016,16.0,
07/28/2019,Ashokan,Catskill/Delaware,109.87,122.9,0.016,16.0,
07/29/2019,Ashokan,Catskill/Delaware,109.45,122.9,0.016,16.0,
07/30/2019,Ashokan,Catskill/Delaware,108.99,122.9,0.016,16.0,
07/31/2019,Ashokan,Catskill/Delaware,108.74,122.9,0.018,18.0,
08/01/2019,Ashokan,Catskill/Delaware,108.33,122.9,0.018,18.0,
08/02/2019,Ashokan,Catskill/Delaware,107.9,122.9,0.016,16.0,
08/03/2019,Ashokan,Catskill/Delaware,107.7,122.9,0.017,17.0,
08/04/2019,Ashokan,Catskill/Delaware,107.28,122.9,0.017,17.0,
08/05/2019,Ashokan,Catskill/Delaware,107.07,122.9,0.017,17.0,
08/06/2019,Ashokan,Catskill/Delaware,107.03,122.9,0.016,16.0,
08/07/2019,Ashokan,Catskill/Delaware,106.77,122.9,0.016,16.0,
08/08/2019,Ashokan,Catskill/Delaware,106.54,122.9,0.016,16.0,
08/09/2019,Ashokan,Catskill/Delaware,106.25,122.9,0.016,16.0,
08/10/2019,Ashokan,Catskill/Delaware,105.9,122.9,0.016,16.0,
08/11/2019,Ashokan,Catskill/Delaware,105.58,122.9,0.015,15.0,
08/12/2019,Ashokan,Catskill/Delaware,105.39,122.9,0.014,14.0,
08/13/2019,Ashokan,Catskill/Delaware,105.2,122.9,0.015,15.0,
08/14/2019,Ashokan,Catskill/Delaware,104.86,122.9,0.015,15.0,
08/15/2019,Ashokan,Catskill/Delaware,104.58,122.9,0.013,13.0,
08/16/2019,Ashokan,Catskill/Delaware,104.26,122.9,0.014,14.0,
08/17/2019,Ashokan,Catskill/Delaware,104.17,122.9,0.014,14.0,
08/18/2019,Ashokan,Catskill/Delaware,103.94,122.9,0.013,13.0,
08/19/2019,Ashokan,Catskill/Delaware,103.66,122.9,0.013,13.0,
08/20/2019,Ashokan,Catskill/Delaware,103.28,122.9,0.013,13.0,
08/21/2019,Ashokan,Catskill/Delaware,103.03,122.9,0.014,14.0,
08/22/2019,Ashokan,Catskill/Delaware,102.66,122.9,0.014,14.0,
08/23/2019,Ashokan,Catskill/Delaware,102.25,122.9,0.014,14.0,
08/24/2019,Ashokan,Catskill/Delaware,101.8,122.9,0.014,14.0,
08/25/2019,Ashokan,Catskill/Delaware,101.34,122.9,0.015,15.0,
08/26/2019,Ashokan,Catskill/Delaware,101.08,122.9,0.015,15.0,
08/27/2019,Ashokan,Catskill/Delaware,100.87,122.9,0.015,15.0,
08/28/2019,Ashokan,Catskill/Delaware,100.74,122.9,0.015,15.0,
08/29/2019,Ashokan,Catskill/Delaware,100.43,122.9,0.017,17.0,
08/30/2019,Ashokan,Catskill/Delaware,100.11,122.9,0.017,17.0,
08/31/2019,Ashokan,Catskill/Delaware,99.85,122.9,0.017,17.0,
09/01/2019,Ashokan,Catskill/Delaware,99.61,122.9,0.017,17.0,
09/02/2019,Ashokan,Catskill/Delaware,99.45,122.9,0.019,19.0,
09/03/2019,Ashokan,Catskill/Delaware,99.14,122.9,0.019,19.0,
09/04/2019,Ashokan,Catskill/Delaware,98.79,122.9,0.018,18.0,
09/05/2019,Ashokan,Catskill/Delaware,98.56,122.9,0.018,18.0,
09/06/2019,Ashokan,Catskill/Delaware,98.41,122.9,0.018,18.0,
09/07/2019,Ashokan,Catskill/Delaware,98.22,122.9,0.018,18.0,
09/08/2019,Ashokan,Catskill/Delaware,98.05,122.9,0.018,18.0,
09/09/2019,Ashokan,Catskill/Delaware,97.71,122.9,0.018,18.0,
09/10/2019,Ashokan,Catskill/Delaware,97.35,122.9,0.018,18.0,
09/11/2019,Ashokan,Catskill/Delaware,96.97,122.9,0.017,17.0,
09/12/2019,Ashokan,Catskill/Delaware,96.62,122.9,0.017,17.0,
09/13/2019,Ashokan,Catskill/Delaware,96.26,122.9,0.017,17.0,
09/14/2019,Ashokan,Catskill/Delaware,95.93,122.9,0.013,13.0,
09/15/2019,Ashokan,Catskill/Delaware,95.59,122.9,0.013,13.0,
09/16/2019,Ashokan,Catskill/Delaware,95.21,122.9,0.013,13.0,
09/17/2019,Ashokan,Catskill/Delaware,94.74,122.9,0.013,13.0,
09/18/2019,Ashokan,Catskill/Delaware,94.4,122.9,0.012,12.0,
09/19/2019,Ashokan,Catskill/Delaware,94.07,122.9,0.014,14.0,
09/20/2019,Ashokan,Catskill/Delaware,93.77,122.9,0.016,16.0,
09/21/2019,Ashokan,Catskill/Delaware,93.43,122.9,0.018,18.0,
09/22/2019,Ashokan,Catskill/Delaware,93.13,122.9,0.019,19.0,
09/23/2019,Ashokan,Catskill/Delaware,92.81,122.9,0.019,19.0,
09/24/2019,Ashokan,Catskill/Delaware,92.34,122.9,0.019,19.0,
09/25/2019,Ashokan,Catskill/Delaware,92.25,122.9,0.019,19.0,
09/26/2019,Ashokan,Catskill/Delaware,92.14,122.9,0.017,17.0,
09/27/2019,Ashokan,Catskill/Delaware,91.74,122.9,0.016,16.0,
09/28/2019,Ashokan,Catskill/Delaware,91.34,122.9,0.012,12.0,
09/29/2019,Ashokan,Catskill/Delaware,90.95,122.9,0.012,12.0,
09/30/2019,Ashokan,Catskill/Delaware,90.71,122.9,0.011,11.0,
10/01/2019,Ashokan,Catskill/Delaware,90.44,122.9,0.011,11.0,
10/02/2019,Ashokan,Catskill/Delaware,90.15,122.9,0.011,11.0,
10/03/2019,Ashokan,Catskill/Delaware,90.03,122.9,0.011,11.0,
10/04/2019,Ashokan,Catskill/Delaware,89.75,122.9,0.01,10.0,
10/05/2019,Ashokan,Catskill/Delaware,89.52,122.9,0.01,10.0,
10/06/2019,Ashokan,Catskill/Delaware,89.38,122.9,0.011,11.0,
10/07/2019,Ashokan,Catskill/Delaware,89.28,122.9,0.011,11.0,
10/08/2019,Ashokan,Catskill/Delaware,89.06,122.9,0.011,11.0,
10/09/2019,Ashokan,Catskill/Delaware,88.79,122.9,0.011,11.0,
10/10/2019,Ashokan,Catskill/Delaware,88.5,122.9,0.012,12.0,
10/11/2019,Ashokan,Catskill/Delaware,88.22,122.9,0.014,14.0,
10/12/2019,Ashokan,Catskill/Delaware,87.92,122.9,0.014,14.0,
10/13/2019,Ashokan,Catskill/Delaware,87.68,122.9,0.014,14.0,
10/14/2019,Ashokan,Catskill/Delaware,87.43,122.9,0.014,14.0,
10/15/2019,Ashokan,Catskill/Delaware,87.26,122.9,0.014,14.0,
10/16/2019,Ashokan,Catskill/Delaware,88.14,122.9,0.017,17.0,
10/17/2019,Ashokan,Catskill/Delaware,88.44,122.9,0.017,17.0,
10/18/2019,Ashokan,Catskill/Delaware,88.44,122.9,0.016,16.0,
10/19/2019,Ashokan,Catskill/Delaware,88.39,122.9,0.016,16.0,
10/20/2019,Ashokan,Catskill/Delaware,88.38,122.9,0.014,14.0,
10/21/2019,Ashokan,Catskill/Delaware,88.3,122.9,0.015,15.0,
10/22/2019,Ashokan,Catskill/Delaware,88.44,122.9,0.016,16.0,
10/23/2019,Ashokan,Catskill/Delaware,88.26,122.9,0.016,16.0,
10/24/2019,Ashokan,Catskill/Delaware,88,122.9,0.015,15.0,
10/25/2019,Ashokan,Catskill/Delaware,87.7,122.9,0.015,15.0,
10/26/2019,Ashokan,Catskill/Delaware,87.44,122.9,0.015,15.0,
10/27/2019,Ashokan,Catskill/Delaware,87.95,122.9,0.018,18.0,
10/28/2019,Ashokan,Catskill/Delaware,87.87,122.9,0.018,18.0,
10/29/2019,Ashokan,Catskill/Delaware,87.82,122.9,0.017,17.0,
10/30/2019,Ashokan,Catskill/Delaware,87.99,122.9,0.017,17.0,
10/31/2019,Ashokan,Catskill/Delaware,90.83,122.9,0.017,17.0,
11/01/2019,Ashokan,Catskill/Delaware,93.38,122.9,0.019,19.0,
11/02/2019,Ashokan,Catskill/Delaware,94.39,122.9,0.007,7.0,
11/03/2019,Ashokan,Catskill/Delaware,94.89,122.9,0.007,7.0,
11/04/2019,Ashokan,Catskill/Delaware,95.19,122.9,0.007,7.0,
11/05/2019,Ashokan,Catskill/Delaware,95.37,122.9,0.008,8.0,
11/06/2019,Ashokan,Catskill/Delaware,95.45,122.9,0.008,8.0,
11/07/2019,Ashokan,Catskill/Delaware,95.56,122.9,0.008,8.0,
11/08/2019,Ashokan,Catskill/Delaware,95.54,122.9,0.008,8.0,
11/09/2019,Ashokan,Catskill/Delaware,95.51,122.9,0.007,7.0,
11/10/2019,Ashokan,Catskill/Delaware,95.76,122.9,0.007,7.0,
11/11/2019,Ashokan,Catskill/Delaware,95.98,122.9,0.007,7.0,
11/12/2019,Ashokan,Catskill/Delaware,96.15,122.9,0.007,7.0,
11/13/2019,Ashokan,Catskill/Delaware,96.31,122.9,0.007,7.0,
11/14/2019,Ashokan,Catskill/Delaware,96.46,122.9,0.007,7.0,
11/15/2019,Ashokan,Catskill/Delaware,96.61,122.9,0.007,7.0,
11/16/2019,Ashokan,Catskill/Delaware,96.71,122.9,0.007,7.0,
11/17/2019,Ashokan,Catskill/Delaware,96.81,122.9,0.007,7.0,
11/18/2019,Ashokan,Catskill/Delaware,97.2,122.9,0.007,7.0,
11/19/2019,Ashokan,Catskill/Delaware,97.55,122.9,0.007,7.0,
11/20/2019,Ashokan,Catskill/Delaware,97.77,122.9,0.008,8.0,
11/21/2019,Ashokan,Catskill/Delaware,97.95,122.9,0.008,8.0,
11/22/2019,Ashokan,Catskill/Delaware,98.14,122.9,0.008,8.0,
11/23/2019,Ashokan,Catskill/Delaware,98.48,122.9,0.008,8.0,
11/24/2019,Ashokan,Catskill/Delaware,99.82,122.9,0.008,8.0,
11/25/2019,Ashokan,Catskill/Delaware,100.49,122.9,0.008,8.0,
11/26/2019,Ashokan,Catskill/Delaware,101.09,122.9,0.007,7.0,
11/27/2019,Ashokan,Catskill/Delaware,101.72,122.9,0.008,8.0,
11/28/2019,Ashokan,Catskill/Delaware,102.21,122.9,0.008,8.0,
11/29/2019,Ashokan,Catskill/Delaware,102.71,122.9,0.008,8.0,
11/30/2019,Ashokan,Catskill/Delaware,103.13,122.9,0.007,7.0,
12/01/2019,Ashokan,Catskill/Delaware,103.78,122.9,0.007,7.0,
12/02/2019,Ashokan,Catskill/Delaware,104.23,122.9,0.007,7.0,
12/03/2019,Ashokan,Catskill/Delaware,104.58,122.9,0.007,7.0,
12/04/2019,Ashokan,Catskill/Delaware,104.89,122.9,0.014,14.0,
12/05/2019,Ashokan,Catskill/Delaware,105.18,122.9,0.007,7.0,
12/06/2019,Ashokan,Catskill/Delaware,105.48,122.9,0.007,7.0,
12/07/2019,Ashokan,Catskill/Delaware,105.69,122.9,0.007,7.0,
12/08/2019,Ashokan,Catskill/Delaware,105.91,122.9,0.006,6.0,
12/09/2019,Ashokan,Catskill/Delaware,107.04,122.9,0.007,7.0,
12/10/2019,Ashokan,Catskill/Delaware,108.78,122.9,0.101,101.0,
12/11/2019,Ashokan,Catskill/Delaware,109.91,122.9,0.19,190.0,
12/12/2019,Ashokan,Catskill/Delaware,110.56,122.9,0.287,287.0,
12/13/2019,Ashokan,Catskill/Delaware,111.69,122.9,0.386,386.0,
12/14/2019,Ashokan,Catskill/Delaware,113.55,122.9,0.403,403.0,
12/15/2019,Ashokan,Catskill/Delaware,114.6,122.9,0.403,403.0,
12/16/2019,Ashokan,Catskill/Delaware,115.33,122.9,0.403,403.0,
12/17/2019,Ashokan,Catskill/Delaware,115.81,122.9,0.466,466.0,
12/18/2019,Ashokan,Catskill/Delaware,115.97,122.9,0.504,504.0,
12/19/2019,Ashokan,Catskill/Delaware,115.86,122.9,0.594,594.0,
12/20/2019,Ashokan,Catskill/Delaware,115.65,122.9,0.599,599.0,
12/21/2019,Ashokan,Catskill/Delaware,115.37,122.9,0.599,599.0,
12/22/2019,Ashokan,Catskill/Delaware,115.09,122.9,0.597,597.0,
12/23/2019,Ashokan,Catskill/Delaware,114.85,122.9,0.598,598.0,
12/24/2019,Ashokan,Catskill/Delaware,114.53,122.9,0.598,598.0,
12/25/2019,Ashokan,Catskill/Delaware,114.2,122.9,0.594,594.0,
12/26/2019,Ashokan,Catskill/Delaware,113.8,122.9,0.594,594.0,
12/27/2019,Ashokan,Catskill/Delaware,113.52,122.9,0.593,593.0,
12/28/2019,Ashokan,Catskill/Delaware,113.14,122.9,0.591,591.0,
12/29/2019,Ashokan,Catskill/Delaware,113.03,122.9,0.589,589.0,
12/30/2019,Ashokan,Catskill/Delaware,113.34,122.9,0.589,589.0,
12/31/2019,Ashokan,Catskill/Delaware,113.35,122.9,0.589,589.0,
01/01/2020,Ashokan,Catskill/Delaware,113.02,122.9,0.588,588.0,
01/02/2020,Ashokan,Catskill/Delaware,113.02,122.9,0.587,587.0,
01/03/2020,Ashokan,Catskill/Delaware,112.83,122.9,0.587,587.0,
01/04/2020,Ashokan,Catskill/Delaware,112.8,122.9,0.586,586.0,
01/05/2020,Ashokan,Catskill/Delaware,112.69,122.9,0.586,586.0,
01/06/2020,Ashokan,Catskill/Delaware,112.49,122.9,0.585,585.0,
01/07/2020,Ashokan,Catskill/Delaware,112.31,122.9,0.585,585.0,
01/08/2020,Ashokan,Catskill/Delaware,112.09,122.9,0.582,582.0,
01/09/2020,Ashokan,Catskill/Delaware,111.94,122.9,0.519,519.0,
01/10/2020,Ashokan,Catskill/Delaware,111.99,122.9,0.423,423.0,
01/11/2020,Ashokan,Catskill/Delaware,112.12,122.9,0.314,314.0,
01/12/2020,Ashokan,Catskill/Delaware,112.43,122.9,0.3,300.0,
01/13/2020,Ashokan,Catskill/Delaware,112.66,122.9,0.301,301.0,
01/14/2020,Ashokan,Catskill/Delaware,112.82,122.9,0.303,303.0,
